Artikeltyp;ExternalKey;Artikelname;ParentExternalKey
Einzelartikel;1019053;Apfelsaft;
Einzelartikel;1018987;Apfelsaft;
Einzelartikel;1019081;Apfelsaft;
Einzelartikel;1021363;Apfelsaft;
Einzelartikel;1020475;Apfelschorle;
Einzelartikel;Direktversand_Trockenprodukte_Trockenfruechte_0_Aprikosen;;
Einzelartikel;1017447;Aprikosen;
Einzelartikel;1021492;;
Einzelartikel;1019923;Aprikosen aus Wildsammlung;
Einzelartikel;1020525;Aprikosen aus Wildsammlung;
Einzelartikel;1020353;Aprikosen aus Wildsammlung;
Einzelartikel;1021798;Aprikosen;
Einzelartikel;1022194;Aprikosen;
Einzelartikel;1019543;Aprikosen;
Einzelartikel;1001648;Aprikosen;
Einzelartikel;1005969;Aprikosen;
Einzelartikel;1020516;Aprikosen;
Einzelartikel;1017274;Aprikosen aus Wildsammlung;
Einzelartikel;1005864;Aprikosen aus Wildsammlung;
Einzelartikel;1006546;Aprikosen aus Wildsammlung;
Einzelartikel;1022328;Aprikosen aus Wildsammlung;
Einzelartikel;1000213;Aprikosen aus Wildsammlung;
Einzelartikel;1005497;Aprikosenkerne mit Chili;
Einzelartikel;1001877;Aprikosenkerne mit Chili;
Einzelartikel;Direktversand_Trockenprodukte_Nuesse_0_Aprikosenkernegewuerzt;;
Einzelartikel;Direktversand_Trockenprodukte_Nuesse_0_Aprikosenkernenature;;
Einzelartikel;1003599;Aprikosenkerne;
Einzelartikel;1001876;Aprikosenkerne;
Einzelartikel;1020494;Aprikosenkerne;
Einzelartikel;1011343;Aprikosenkerne;
Einzelartikel;1005965;Aprikosenkerne;
Einzelartikel;1020496;Aprikosenkerne mit Tamari;
Einzelartikel;1003602;Aprikosenkerne mit Tamari;
Einzelartikel;1001875;Aprikosenkerne mit Tamari;
Einzelartikel;1007079;Arganöl;
Einzelartikel;1021784;Aroniapulver;
Einzelartikel;1021655;Aroniabeeren;
Einzelartikel;1019945;Assembling Sense / Mirko Baselgia;
Einzelartikel;Direktversand_Non-Food_Verpackung_0_Aufbewahrung;;
Einzelartikel;Direktversand_Non-Food_Verpackung_0_Aufkleber;;
Einzelartikel;1020780;;
Einzelartikel;1020779;;
Einzelartikel;Direktversand_Frischprodukte_FischMeeresfruechte_0_Austern;;
Einzelartikel;1019090;Austern;
Einzelartikel;Direktversand_Frischprodukte_Gemuese_0_Avocadofrisch;;
Einzelartikel;1017887;Avocados;
Einzelartikel;1017270;Avocados;
Einzelartikel;1019157;B1 / 108 NERO;
Einzelartikel;1019195;Bacio Lupo e Agnello / Oliviero Toscani;
Einzelartikel;1018595;;
Einzelartikel;1019152;Banana Is / Monica Silva;
Einzelartikel;Direktversand_Frischprodukte_Fruechte_0_Bananenfrisch;;
Einzelartikel;Direktversand_Trockenprodukte_Snacks_0_BananenChips;;
Einzelartikel;1001874;Bananenchips;
Einzelartikel;1004745;Bananenchips;
Einzelartikel;1021441;Bananenchips;
Einzelartikel;1021815;Bananenchips;
Einzelartikel;1021962;Bananenchips;
Einzelartikel;1022127;Bananenchips;
Einzelartikel;1022372;Bananenchips;
Einzelartikel;1003390;Bananen;
Einzelartikel;1022171;Bananen;
Einzelartikel;1000273;Bananen;
Einzelartikel;1006832;Bananen;
Einzelartikel;1019150;Baño de Sol / Daniel Correa Mejía;
Einzelartikel;Direktversand_Trockenprodukte_Trockenfruechte_0_BaobabFruchtpulver;;
Einzelartikel;1004936;Baobab-Pulver;
Einzelartikel;1021262;Barrita Riegel;
Einzelartikel;1000050;Barrita;
Einzelartikel;1020649;A2M 1 kg Barunüsse;
Einzelartikel;1021848;Barunüsse;
Einzelartikel;1022159;Barunüsse;
Einzelartikel;Direktversand_Trockenprodukte_Grundnahrungsmittel_Reis_Basmati;;
Einzelartikel;1021405;Basmatireis;
Einzelartikel;1021970;Basmatireis;
Einzelartikel;1020759;Geknackte Walnüsse;
Einzelartikel;1022366;Rote Walnüsse, geknackt;
Einzelartikel;1020928;Rote Walnüsse;
Einzelartikel;1020770;Walnüsse Lara;
Einzelartikel;1021869;Walnüsse Lara;
Einzelartikel;1020555;Walnüsse diverse Sorten;
Einzelartikel;1020680;Walnüsse in der Schale;
Einzelartikel;1019784;Baumnüsse;
Einzelartikel;1020645;Baumnüsse;
Einzelartikel;1022153;Walnussmus;
Einzelartikel;Direktversand_Frischprodukte_Fruechte_0_Beerenfrisch;;
Einzelartikel;1004252;Bergfeigen;
Einzelartikel;1004259;Bergfeigen;
Einzelartikel;1017427;Bergfeigen;
Einzelartikel;1017428;Bergfeigen;
Einzelartikel;1019054;Berner Alpkäse AOP;
Einzelartikel;1022151;Berner Alpkäse von der Alp Oltscheren;
Einzelartikel;1022150;Berner Alpkäse von der Alp Oltscheren;
Einzelartikel;1022149;Berner Alpkäse von der Alp Oltscheren;
Einzelartikel;1022218;Alpkäse von der Alp Schüpfi;
Einzelartikel;1022219;Alpkäse von der Alp Schüpfi;
Einzelartikel;1022280;Berner Alpkäse rezent;
Einzelartikel;1019027;Berner Alpkäse AOP;
Einzelartikel;1003294;Bienenhonig;
Einzelartikel;1015539;Bienenhonig;
Einzelartikel;1020476;Bier;
Einzelartikel;1021999;;
Einzelartikel;1021853;;
Einzelartikel;1022285;;
Einzelartikel;1021855;;
Einzelartikel;1021986;;
Einzelartikel;1021990;;
Einzelartikel;1021857;;
Einzelartikel;1021854;;
Einzelartikel;1022363;;
Einzelartikel;1018591;Olivenöl;
Einzelartikel;1019641;Olivenöl Ernte 2022/23;
Einzelartikel;1021666;Olivenöl;
Einzelartikel;1022010;Olivenöl Extra Vergine;
Einzelartikel;1021724;Olivenöl Extra Vergine;
Einzelartikel;1020625;Birnen;
Einzelartikel;1019794;Birnen;
Einzelartikel;1020485;Blanc & Noir, Weingut Henri Cruchon;
Einzelartikel;1019088;Blauer Zweigelt 6Fl_Dezember;
Einzelartikel;1020566;Blumenkohl und Brokkoli;
Einzelartikel;1019162;Bodhgaya / Melina Mulas;
Einzelartikel;Direktversand_Trockenprodukte_Grundnahrungsmittel_0_Bohnen;;
Einzelartikel;Direktversand_Frischprodukte_Gemuese_0_Bohnenfrisch;;
Einzelartikel;1018978;Bohnen;
Einzelartikel;1020463;Bohnen;
Einzelartikel;1019323;Bohnen;
Einzelartikel;1020464;Bohnen;
Einzelartikel;1018098;Bon cadeau 100.-;
Einzelartikel;1018096;Bon cadeau 20.-;
Einzelartikel;1018099;Bon cadeau 200.-;
Einzelartikel;1018097;Bon cadeau 50.-;
Einzelartikel;1018100;Bon cadeau 500.-;
Einzelartikel;1022340;Gemüsebouillon;
Einzelartikel;1022003;Gemüsebouillon;
Einzelartikel;Direktversand_Trockenprodukte_BrotaufstricheNussmuse;;
Einzelartikel;1019006;Brunnenkresse;
Einzelartikel;1019768;Büffelkäse;
Einzelartikel;1021533;Büffelkäse;
Einzelartikel;1021676;Alpkäse aus Jenaz;
Einzelartikel;1020622;Alpkäse aus Pany;
Einzelartikel;1022359;Bergkäse Cento per Cento aus San Carlo;
Einzelartikel;1021403;Bündner Bergpaket;
Einzelartikel;Direktversand_Archiv_Interne-Artikel_Bulk;;
Einzelartikel;1020728;Mandeln;
Einzelartikel;1003091;getrocknete Aprikosen;
Einzelartikel;1022336;;
Einzelartikel;1003290;Wilde Aprikosen;
Einzelartikel;1021989;;
Einzelartikel;1020761;Aprikosenkerne;
Einzelartikel;1004103;;
Einzelartikel;1005964;Aprikosenkerne nature;
Einzelartikel;1004111;Aprikosenkerne Tamari;
Einzelartikel;1004932;Baobab-Pulver;
Einzelartikel;1020695;;
Einzelartikel;1016790;Cashews;
Einzelartikel;1003714;Cashews;
Einzelartikel;1010531;Cashewsplitter;
Einzelartikel;1006184;;
Einzelartikel;1003713;Cashews nature;
Einzelartikel;1021858;;
Einzelartikel;1017564;Wilde Erdnüsse;
Einzelartikel;1022141;;
Einzelartikel;1003815;Granatapfelsamen;
Einzelartikel;1007301;Grüntee;
Einzelartikel;1021679;;
Einzelartikel;1022268;;
Einzelartikel;1022267;;
Einzelartikel;1021926;;
Einzelartikel;1021935;;
Einzelartikel;1021190;Kakaopulver;
Einzelartikel;1004951;Dörrkirschen;
Einzelartikel;1009315;Kokosblütenzucker;
Einzelartikel;1021534;;
Einzelartikel;1010325;Macadamia;
Einzelartikel;1021359;;
Einzelartikel;1019091;Mandeln;
Einzelartikel;1019060;Zerbrochene Mandeln;
Einzelartikel;1005303;Mandeln;
Einzelartikel;1021878;;
Einzelartikel;1003960;Maulbeeren;
Einzelartikel;1013432;Paranüsse;
Einzelartikel;1021809;;
Einzelartikel;1003814;Pekannüsse;
Einzelartikel;1021944;;
Einzelartikel;1021695;;
Einzelartikel;1003597;Physalis;
Einzelartikel;1021273;Pinienkerne;
Einzelartikel;1006782;Pistazien;
Einzelartikel;1021792;Pistazien;
Einzelartikel;1022266;;
Einzelartikel;1003604;Rohrohrzucker;
Einzelartikel;1021920;;
Einzelartikel;1003812;Rosinen;
Einzelartikel;1021455;;
Einzelartikel;1022128;;
Einzelartikel;1007302;Schwarztee;
Einzelartikel;1018320;Trockenfrüchte gehackt;
Einzelartikel;1007926;;
Einzelartikel;1008713;Vollrohrzucker;
Einzelartikel;1012131;Walnüsse;
Einzelartikel;1021743;;
Einzelartikel;1003396;;
Einzelartikel;1000202;Café RebelDía;
Einzelartikel;1000330;Café RebelDía;
Einzelartikel;1000085;Café RebelDía;
Einzelartikel;1011030;Cashewäpfel;
Einzelartikel;1016247;Cashewäpfel;
Einzelartikel;1020674;Cashewapfel;
Einzelartikel;1017128;Cashewapfel;
Einzelartikel;1022237;Cashewäpfel;
Einzelartikel;1019194;Cashew Apples / Catherine Kirchhoff;
Einzelartikel;Direktversand_Trockenprodukte_Nuesse_0_Cashewgeroestetgewuerzt;;
Einzelartikel;Direktversand_Trockenprodukte_Nuesse_0_Cashewnature;;
Einzelartikel;1004946;;
Einzelartikel;1020528;Cashews mit Chili;
Einzelartikel;1017671;Cashews mit Chili;
Einzelartikel;1020529;Cashews mit Curry;
Einzelartikel;1000945;Cashews mit Curry;
Einzelartikel;1019800;Cashews mit Curry;
Einzelartikel;1004948;Cashews mit Salz;
Einzelartikel;1006950;Cashews mit Salz;
Einzelartikel;1020530;Cashews mit Salz;
Einzelartikel;1000212;Cashews mit Salz;
Einzelartikel;1012139;Cashews mit Honig;
Einzelartikel;1020531;Cashews mit Honig;
Einzelartikel;1000948;Cashews mit Honig;
Einzelartikel;1003192;Cashews;
Einzelartikel;1019324;Cashews Promo SAC;
Einzelartikel;1021754;Cashews Probierpaket;
Einzelartikel;1022007;Cashews Probierpaket;
Einzelartikel;1020514;Cashews;
Einzelartikel;1021318;;
Einzelartikel;1019325;Zerbrochene Cashews;
Einzelartikel;1016763;Zerbrochene Cashews;
Einzelartikel;1019093;Cashews gemahlen;
Einzelartikel;1006513;Cashewsplitter;
Einzelartikel;1021052;Cashewsplitter;
Einzelartikel;1020532;Cashews mit Rosmarin;
Einzelartikel;1018335;Cashews mit Rosmarin;
Einzelartikel;1021686;Cashews mit Rosmarin;
Einzelartikel;1020533;Cashews mit Za'tar;
Einzelartikel;1000943;Cashews mit Za'tar;
Einzelartikel;1021941;Cashews mit Za'tar;
Einzelartikel;Direktversand_Trockenprodukte_Brotaufstriche_0_Cashewmus;;
Einzelartikel;1003998;Cashewmus;
Einzelartikel;1021929;Cashewset 'La Belle Usine';
Einzelartikel;1021932;Cashewset 'La Belle Usine';
Einzelartikel;1020127;Cassis;
Einzelartikel;1019160;Change of Reality / Olivia Descampe;
Einzelartikel;1016444;Chiasamen;
Einzelartikel;1022338;Chiasamen;
Einzelartikel;1020492;Weisse Chiasamen;
Einzelartikel;1021681;Cider alkoholfrei;
Einzelartikel;1021039;Cider;
Einzelartikel;1020641;Cider;
Einzelartikel;1021040;Cider;
Einzelartikel;1021682;Cider;
Einzelartikel;Direktversand_Trockenprodukte_Getraenke_Cidre;;
Einzelartikel;1018322;Cidre;
Einzelartikel;Direktversand_Frischprodukte_Fruechte_0_Clementinenfrisch;;
Einzelartikel;1009525;Clementinen Saisonangebot 2x8kg EU VORBESTELLUNG;
Einzelartikel;1009526;Clementinen;
Einzelartikel;1016564;Clementinen Saisonangebot bio 2x8kg EU VORBESTELLUNG;
Einzelartikel;1020604;Clementinen Saisonangebot;
Einzelartikel;1020603;Clementinen Saisonangebot;
Einzelartikel;1021690;Cocobohnen;
Einzelartikel;1020471;Complices Blancs Assemblage, Domaine Gérald Besse;
Einzelartikel;1020342;Complices Rouges Assemblage, Domaine Gérald Besse;
Einzelartikel;1020569;Complices Rouges Assemblage, Domaine Gérald Besse;
Einzelartikel;1021294;Condimento Bianco;
Einzelartikel;1022143;Condimento Bianco;
