TYPE;NAVIGATIONPATH;EXTERNALKEY;Artikelname (KOM --> Übersetzung);Produkttext Shop (KOM --> Übersetzung);Anbau - übersetzen (KOM);Einkauf & Logistik - übersetzen (KOM);Produzierende - übersetzen (KOM);Verarbeitung - übersetzen (KOM);Nachhaltigkeit & Transparenz (KOM);Verwendung & Zubereitung (KOM --> Übersetzung);Aufbewahrung & Haltbarkeit (KOM --> Übersetzung);Herkunft (KOM);Category ID Shopware (Kategorien)
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Snacks;1017397;2x 2kg « Verantwortungs-Schoggi » Drops 2.L, Versand Jan. 21;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Snacks;1017398;2x 2kg « Verantwortungs-Schoggi » Drops 3.L, Versand Jan. 22;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Snacks;1017396;2x 2kg « Verantwortungs-Schoggi » Drops, Versand Jan. 2020;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Öl/Essig > Öle - weitere;1020722;A2M 30 ml Paranussöl;;;;;;;;;;
Artikel;Direktversand > Frischprodukte > verarbeitete pflanzliche Produkte;1020901;2x Saucen Communauts - A2M;;;;;;;;;Burkina Faso;
Artikel;Direktversand > Trockenprodukte > Trockenfrüchte > Mango;1021079;Mango Mischpaket;Getrocknete Mangoschnitze von gebana Burkina Faso. Von Hand kontrolliert und sortiert und in unserer Fabrik in Bobo-Dioulasso verpackt. Das Mischpaket enthält jeweils 2 Packungen der honigsüssen Sorte Lippens sowie 1 Kilo der süssen Sorte Brooks. Kein Schwefel, kein Zuckerzusatz.;;;;;;;;Burkina Faso;Mangos, Trockenfrüchte
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1020637;A2M 3 kg Barunüsse;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1020717;A2M 3 kg Paranüsse gewürzt;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1020718;A2M 3 kg Paranüsse natur;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Snacks > Schokolade - weitere;1021030;3 Tafeln Schokolade ChocoSamona - A2M;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Snacks > Schokolade - weitere;1021034;30 Tafeln Schokolade ChocoSamona - A2M;;;;;;;;;;
Artikel;Direktversand > Frischprodukte > verarbeitete pflanzliche Produkte;1020899;3x Konfitüre Communauts - A2M;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1021459;3x Paranussaufstrich - A2M;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1020715;A2M 4 kg Paranüsse gemischt;;;;;;;;;;
